method,description,truthfulqa,triviaqa,coqa,tydiqa,halueval_qa,halueval_summ,halueval_dialog,nq_open,hotpotqa,popqa,avg7,avg10
A,canonical only,0.3283,0.5348,0.5712,0.5027,0.0543,0.4228,0.3450,,,,0.3941,
B,+drift,0.3383,0.5673,0.5639,0.5229,0.0392,0.3156,0.3127,,,,0.3800,
C,+variance,0.3083,0.5614,0.5503,0.5372,0.0252,0.3209,0.3097,,,,0.3733,
D,+entropy,0.3033,0.5387,0.5561,0.5422,0.1259,0.3423,0.3357,,,,0.3920,
E,+internal-state trio,0.2757,0.4847,0.5022,0.4918,0.2279,0.3796,0.3421,,,,0.3863,
F,+lookback,0.2857,0.5458,0.5580,0.5061,0.0316,0.3612,0.3162,,,,0.3721,
G,+logit-lens,0.3133,0.5270,0.5425,0.5137,0.0262,0.3356,0.3093,,,,0.3668,
H,+max-margin,0.3083,0.5283,0.5585,0.5162,0.0375,0.3346,0.3127,,,,0.3709,
I,+lookback/lens/margin,0.3033,0.5185,0.5508,0.5036,0.0554,0.3341,0.3495,,,,0.3736,
J,+all 9 literature,0.3083,0.6264,0.5624,0.5666,0.2460,0.3954,0.3530,,,,0.4369,
K,+trio+lit-trio,0.3283,0.5530,0.5512,0.5376,0.0490,0.2863,0.3021,,,,0.3725,
L,+trio+all literature,0.2932,0.5283,0.5537,0.4977,0.0199,0.3524,0.3178,,,,0.3661,
M,+URP+curvature,0.4490,0.5850,0.5500,0.4340,0.4480,0.4150,0.4370,0.5210,0.4460,0.5300,0.4740,0.4815
N,+conf-traj/rank/echo,0.5870,0.5250,0.5370,0.4930,0.8780,0.5030,0.5540,0.5180,0.4390,0.4770,0.5824,0.5511
O,+URP/curv/conf,0.5150,0.5670,0.5230,0.5280,0.7640,0.3830,0.4820,0.4680,0.4140,0.4880,0.5374,0.5132
P,+trio+all new,0.3880,0.5720,0.5360,0.4790,0.5210,0.4390,0.4300,0.4070,0.4280,0.5180,0.4807,0.4718
SAPLMA,baseline,0.4880,0.4780,0.4890,0.5020,0.7870,0.5340,0.3820,0.5530,0.5070,0.4180,0.5229,0.5138
HaloScope,baseline,0.6650,0.5000,0.4790,0.4810,0.2720,0.1360,0.3770,0.5090,0.5410,0.2100,0.4157,0.4170
HalluShift,baseline,0.6460,0.5220,0.5240,0.5220,0.4650,0.5470,0.4640,0.5090,0.5150,0.1430,0.5271,0.4857
EigenScore,baseline,0.5040,0.5190,0.5200,0.4070,0.5000,0.5010,0.4990,0.5880,0.4440,0.0710,0.4929,0.4553
MIND,baseline,0.5356,0.4556,0.4542,0.5003,0.5526,0.3565,0.4293,0.5390,0.5451,0.6871,0.4692,0.5055
Perplexity,baseline,0.7540,0.6377,0.5899,0.5499,0.4306,0.3972,0.4241,0.4995,0.5479,0.3280,0.5405,0.5159
